v_tag_key1,v_tag_humidity,v_tag_key2,v_vibration,v_oee_h+1_cat,v_tag_key1_1m,v_tag_key2_1m
0,0.8000451294478277,0,1.992423125229974,1,0.0,0.0
0,0.7997009525119813,0,2.0008351482462663,1,0.0,0.0
0,0.7993250260773124,0,1.9745263937247328,1,0.0,0.0
0,0.7999934125158451,0,1.972720141793,1,0.0,0.0
0,0.7997288551877669,0,1.9655218742478573,1,0.0,0.0
0,0.8004436288611156,0,1.9641321554154123,1,0.0,0.0
0,0.8010060180980904,0,1.9810501367021955,1,0.0,0.0
0,0.8004132995380526,0,1.9906961673372316,1,0.0,0.0
0,0.8007825398492473,0,2.018480387944784,1,0.0,0.0
0,0.8011138219153282,0,2.0074796554625265,1,0.0,0.0
0,0.801170704486686,0,2.011762450735693,1,0.0,0.0
0,0.8003881010683489,0,2.005384256267098,1,0.0,0.0
0,0.8009234646514747,0,2.0001978709739374,1,0.0,0.0
0,0.801778389408644,0,2.00061950003132,1,0.0,0.0
0,0.8002700328977022,0,2.003690896816805,1,0.0,0.0
0,0.8002125423239699,0,2.0186586083513927,1,0.0,0.0
0,0.8005427032294569,0,2.023167769149806,1,0.0,0.0
0,0.8003690928537588,0,2.005036213779668,1,0.0,0.0
0,0.8014718204956064,0,2.043587595760675,1,0.0,0.0
0,0.8004329129227785,0,2.022276567252978,1,0.0,0.0
0,0.8003221423480268,0,2.0478268351799453,1,0.0,0.0
0,0.8004977445866958,0,2.033801546845706,1,0.0,0.0
0,0.8000552098705002,0,2.047180643559172,1,0.0,0.0
0,0.8016851456622901,0,2.0658293276790847,1,0.0,0.0
0,0.8007013405077865,0,2.057193600429697,1,0.0,0.0
0,0.8016100892621829,0,2.083342210840086,1,0.0,0.0
0,0.8003833609018194,0,2.0775158268043943,1,0.0,0.0
0,0.7993207337621822,0,2.082559511545224,1,0.0,0.0
0,0.7998948739215971,0,2.0796093509658493,1,0.0,0.0
0,0.7995115630741921,0,2.096490561834905,1,0.0,0.0
0,0.7985297877156784,0,2.1104260575565355,1,0.0,0.0
0,0.799729801706076,0,2.1238835275230667,1,0.0,0.0
0,0.7995309784607965,0,2.1272570056542204,1,0.0,0.0
0,0.7999060111624862,0,2.1157939948420696,1,0.0,0.0
0,0.7996736389267101,0,2.139166736561638,1,0.0,0.0
0,0.7996151595552627,0,2.1210248252731225,1,0.0,0.0
0,0.8001617611261087,0,2.108744782795298,1,0.0,0.0
